Metric,ENTL_published_average,Baseline,Baseline_published_average,ENTL_better
PD,0.711,EGW,0.593,True
PD,0.711,HDP_KS,0.551,True
PD,0.711,CTKCCA,0.283,True
PD,0.711,EMKCA,0.095,True
PF,0.297,EGW,0.271,False
PF,0.297,HDP_KS,0.282,False
PF,0.297,CTKCCA,0.101,False
PF,0.297,EMKCA,0.091,False
F1-score,0.475,EGW,0.453,True
F1-score,0.475,HDP_KS,0.412,True
F1-score,0.475,CTKCCA,0.335,True
F1-score,0.475,EMKCA,0.12,True
G-Mean,0.77,EGW,0.653,True
G-Mean,0.77,HDP_KS,0.601,True
G-Mean,0.77,CTKCCA,0.402,True
G-Mean,0.77,EMKCA,0.154,True
AUC,0.663,EGW,0.661,True
AUC,0.663,HDP_KS,0.631,True
AUC,0.663,CTKCCA,0.611,True
AUC,0.663,EMKCA,0.593,True
