Target,Metric,Local_ENTL_mean,Local_ENTL_std,Published_ENTL_mean,Difference
AEEM,PD,0.3250659426391916,0.3149773785789589,0.751,-0.4259340573608084
AEEM,PF,0.1676002873521005,0.1449433399802069,0.278,-0.11039971264789952
AEEM,F1-score,0.2201000351000351,0.2073779300957401,0.325,-0.10489996489996492
AEEM,G-Mean,0.4156359632530064,0.3163398266707684,0.712,-0.2963640367469936
AEEM,AUC,0.6631864750375711,0.1711742798168475,0.622,0.04118647503757111
JIRA,PD,0.6924364480186385,0.2718705677093391,0.675,0.017436448018638417
JIRA,PF,0.7003721441559397,0.0955649111201103,0.325,0.3753721441559397
JIRA,F1-score,0.2789716723236126,0.1218380257432589,0.449,-0.17002832767638743
JIRA,G-Mean,0.4413500923523036,0.1310219687234876,0.78,-0.3386499076476964
JIRA,AUC,0.5021210168730191,0.2373382148323804,0.657,-0.1548789831269809
NASA,PD,0.725975136006249,0.069130835717627,0.751,-0.025024863993751034
NASA,PF,0.6760034146778902,0.1480353670142474,0.25,0.42600341467789016
NASA,F1-score,0.2209967212932004,0.0176672398357916,0.47,-0.24900327870679959
NASA,G-Mean,0.4782408897455992,0.1307121603330467,0.831,-0.35275911025440077
NASA,AUC,0.5353122962569048,0.1747290551555994,0.727,-0.19168770374309518
PROMISE,PD,0.7360545956339563,0.1099314872812428,0.663,0.07305459563395622
PROMISE,PF,0.609412405023716,0.2596893841322604,0.338,0.27141240502371594
PROMISE,F1-score,0.593701689568159,0.0708283233660014,0.607,-0.013298310431840932
PROMISE,G-Mean,0.5014801548520924,0.1625299298791847,0.758,-0.2565198451479076
PROMISE,AUC,0.6246343529802069,0.0996678516598295,0.647,-0.022365647019793156
Average,PD,0.6198830305745088,0.1974271858051161,0.711,-0.09111696942549119
Average,PF,0.5383470628024116,0.2501365310992628,0.297,0.24134706280241164
Average,F1-score,0.3284425295712518,0.1789715857371876,0.475,-0.14655747042874817
Average,G-Mean,0.4591767750507504,0.0381514932855522,0.77,-0.31082322494924963
Average,AUC,0.5813135352869255,0.0752051427187914,0.663,-0.0816864647130745
