Metric,Target,Method,Published_mean
PD,AEEM,ENTL,0.751
PD,AEEM,EGW,0.598
PD,AEEM,HDP_KS,0.488
PD,AEEM,CTKCCA,0.271
PD,AEEM,EMKCA,0.08
PD,AEEM,WPDP,0.375
PD,JIRA,ENTL,0.675
PD,JIRA,EGW,0.662
PD,JIRA,HDP_KS,0.515
PD,JIRA,CTKCCA,0.182
PD,JIRA,EMKCA,0.028
PD,JIRA,WPDP,0.395
PD,NASA,ENTL,0.751
PD,NASA,EGW,0.612
PD,NASA,HDP_KS,0.581
PD,NASA,CTKCCA,0.298
PD,NASA,EMKCA,0.105
PD,NASA,WPDP,0.272
PD,PROMISE,ENTL,0.663
PD,PROMISE,EGW,0.505
PD,PROMISE,HDP_KS,0.416
PD,PROMISE,CTKCCA,0.455
PD,PROMISE,EMKCA,0.151
PD,PROMISE,WPDP,0.59
PD,Average,ENTL,0.711
PD,Average,EGW,0.593
PD,Average,HDP_KS,0.551
PD,Average,CTKCCA,0.283
PD,Average,EMKCA,0.095
PD,Average,WPDP,0.411
PF,AEEM,ENTL,0.278
PF,AEEM,EGW,0.265
PF,AEEM,HDP_KS,0.251
PF,AEEM,CTKCCA,0.115
PF,AEEM,EMKCA,0.105
PF,AEEM,WPDP,0.169
PF,JIRA,ENTL,0.325
PF,JIRA,EGW,0.278
PF,JIRA,HDP_KS,0.296
PF,JIRA,CTKCCA,0.022
PF,JIRA,EMKCA,0.025
PF,JIRA,WPDP,0.105
PF,NASA,ENTL,0.25
PF,NASA,EGW,0.281
PF,NASA,HDP_KS,0.284
PF,NASA,CTKCCA,0.121
PF,NASA,EMKCA,0.037
PF,NASA,WPDP,0.061
PF,PROMISE,ENTL,0.338
PF,PROMISE,EGW,0.255
PF,PROMISE,HDP_KS,0.282
PF,PROMISE,CTKCCA,0.151
PF,PROMISE,EMKCA,0.142
PF,PROMISE,WPDP,0.412
PF,Average,ENTL,0.297
PF,Average,EGW,0.271
PF,Average,HDP_KS,0.282
PF,Average,CTKCCA,0.101
PF,Average,EMKCA,0.091
PF,Average,WPDP,0.193
F1-score,AEEM,ENTL,0.325
F1-score,AEEM,EGW,0.43
F1-score,AEEM,HDP_KS,0.372
F1-score,AEEM,CTKCCA,0.311
F1-score,AEEM,EMKCA,0.111
F1-score,AEEM,WPDP,0.353
F1-score,JIRA,ENTL,0.449
F1-score,JIRA,EGW,0.457
F1-score,JIRA,HDP_KS,0.363
F1-score,JIRA,CTKCCA,0.282
F1-score,JIRA,EMKCA,0.027
F1-score,JIRA,WPDP,0.421
F1-score,NASA,ENTL,0.47
F1-score,NASA,EGW,0.337
F1-score,NASA,HDP_KS,0.322
F1-score,NASA,CTKCCA,0.191
F1-score,NASA,EMKCA,0.145
F1-score,NASA,WPDP,0.311
F1-score,PROMISE,ENTL,0.607
F1-score,PROMISE,EGW,0.548
F1-score,PROMISE,HDP_KS,0.463
F1-score,PROMISE,CTKCCA,0.525
F1-score,PROMISE,EMKCA,0.215
F1-score,PROMISE,WPDP,0.586
F1-score,Average,ENTL,0.475
F1-score,Average,EGW,0.453
F1-score,Average,HDP_KS,0.412
F1-score,Average,CTKCCA,0.335
F1-score,Average,EMKCA,0.12
F1-score,Average,WPDP,0.413
G-Mean,AEEM,ENTL,0.712
G-Mean,AEEM,EGW,0.657
G-Mean,AEEM,HDP_KS,0.579
G-Mean,AEEM,CTKCCA,0.4
G-Mean,AEEM,EMKCA,0.145
G-Mean,AEEM,WPDP,0.547
G-Mean,JIRA,ENTL,0.78
G-Mean,JIRA,EGW,0.691
G-Mean,JIRA,HDP_KS,0.583
G-Mean,JIRA,CTKCCA,0.305
G-Mean,JIRA,EMKCA,0.032
G-Mean,JIRA,WPDP,0.592
G-Mean,NASA,ENTL,0.831
G-Mean,NASA,EGW,0.662
G-Mean,NASA,HDP_KS,0.633
G-Mean,NASA,CTKCCA,0.317
G-Mean,NASA,EMKCA,0.185
G-Mean,NASA,WPDP,0.5
G-Mean,PROMISE,ENTL,0.758
G-Mean,PROMISE,EGW,0.6
G-Mean,PROMISE,HDP_KS,0.507
G-Mean,PROMISE,CTKCCA,0.571
G-Mean,PROMISE,EMKCA,0.249
G-Mean,PROMISE,WPDP,0.581
G-Mean,Average,ENTL,0.77
G-Mean,Average,EGW,0.653
G-Mean,Average,HDP_KS,0.601
G-Mean,Average,CTKCCA,0.402
G-Mean,Average,EMKCA,0.154
G-Mean,Average,WPDP,0.553
AUC,AEEM,ENTL,0.622
AUC,AEEM,EGW,0.665
AUC,AEEM,HDP_KS,0.656
AUC,AEEM,CTKCCA,0.542
AUC,AEEM,EMKCA,0.515
AUC,AEEM,WPDP,0.573
AUC,JIRA,ENTL,0.657
AUC,JIRA,EGW,0.69
AUC,JIRA,HDP_KS,0.642
AUC,JIRA,CTKCCA,0.581
AUC,JIRA,EMKCA,0.551
AUC,JIRA,WPDP,0.685
AUC,NASA,ENTL,0.727
AUC,NASA,EGW,0.665
AUC,NASA,HDP_KS,0.698
AUC,NASA,CTKCCA,0.497
AUC,NASA,EMKCA,0.625
AUC,NASA,WPDP,0.713
AUC,PROMISE,ENTL,0.647
AUC,PROMISE,EGW,0.621
AUC,PROMISE,HDP_KS,0.606
AUC,PROMISE,CTKCCA,0.662
AUC,PROMISE,EMKCA,0.525
AUC,PROMISE,WPDP,0.597
AUC,Average,ENTL,0.663
AUC,Average,EGW,0.661
AUC,Average,HDP_KS,0.631
AUC,Average,CTKCCA,0.611
AUC,Average,EMKCA,0.593
AUC,Average,WPDP,0.641
